seed,episode,decision_step,source,target,C_ij,gate_value,communicated,queue_src,wait_src,demand_src,corridor_queue,queue_tgt,wait_tgt
1001,1,0,A,B,0.5,0.7411870360374451,1,0,0.0,0,0,0,0.0
1001,1,0,B,A,0.5,0.7411870360374451,1,0,0.0,0,0,0,0.0
1001,1,0,A,C,0.5,0.7411870360374451,1,0,0.0,0,0,0,0.0
1001,1,0,C,A,0.5,0.7411870360374451,1,0,0.0,0,0,0,0.0
1001,1,0,B,D,0.5,0.7411870360374451,1,0,0.0,0,0,0,0.0
1001,1,0,D,B,0.5,0.7411870360374451,1,0,0.0,0,0,0,0.0
1001,1,0,C,D,0.5,0.7411870360374451,1,0,0.0,0,0,0,0.0
1001,1,0,D,C,0.5,0.7411870360374451,1,0,0.0,0,0,0,0.0
1001,1,1,A,B,0.5,0.7471349239349365,1,0,0.0,4,0,0,0.0
1001,1,1,B,A,0.5,0.7466174960136414,1,0,0.0,5,0,0,0.0
1001,1,1,A,C,0.5,0.7438063621520996,1,0,0.0,4,0,0,0.0
1001,1,1,C,A,0.5,0.7462054491043091,1,0,0.0,1,0,0,0.0
1001,1,1,B,D,0.5,0.7403795123100281,1,0,0.0,5,0,0,0.0
1001,1,1,D,B,0.5,0.7453693747520447,1,0,0.0,1,0,0,0.0
1001,1,1,C,D,0.5,0.7400172352790833,1,0,0.0,1,0,0,0.0
1001,1,1,D,C,0.5,0.7421016097068787,1,0,0.0,1,0,0,0.0
1001,1,2,A,B,0.5,0.7573202252388,1,0,0.0,5,0,0,0.0
1001,1,2,B,A,0.5,0.7569995522499084,1,0,0.0,8,0,0,0.0
1001,1,2,A,C,0.5,0.7550949454307556,1,0,0.0,5,0,0,0.0
1001,1,2,C,A,0.5,0.7584624886512756,1,0,0.0,2,0,0,0.0
1001,1,2,B,D,0.5,0.7515168190002441,1,0,0.0,8,0,0,0.0
1001,1,2,D,B,0.5,0.7552245259284973,1,0,0.0,1,0,0,0.0
1001,1,2,C,D,0.5,0.7529458999633789,1,0,0.0,2,0,0,0.0
1001,1,2,D,C,0.5,0.7530125379562378,1,0,0.0,1,0,0,0.0
1001,1,3,A,B,0.04375,0.7513838410377502,1,0,0.0,7,0,0,0.0
1001,1,3,B,A,0.06875,0.7495485544204712,1,0,0.0,11,0,0,0.0
1001,1,3,A,C,0.04375,0.7496803998947144,1,0,0.0,7,0,0,0.0
1001,1,3,C,A,0.025,0.7501948475837708,1,0,0.0,4,0,0,0.0
1001,1,3,B,D,0.06875,0.7476416826248169,1,0,0.0,11,0,0,0.0
1001,1,3,D,B,0.03125,0.7505689859390259,1,0,0.0,5,0,0,0.0
1001,1,3,C,D,0.025,0.7482704520225525,1,0,0.0,4,0,0,0.0
1001,1,3,D,C,0.03125,0.7488213777542114,1,0,0.0,5,0,0,0.0
1001,1,4,A,B,0.28606981356552574,0.7465482354164124,1,0,0.0,6,0,1,1.0
1001,1,4,B,A,0.06875,0.7490516304969788,1,1,1.0,11,0,0,0.0
1001,1,4,A,C,0.0375,0.748206615447998,1,0,0.0,6,0,0,0.0
1001,1,4,C,A,0.0375,0.7508718371391296,1,0,0.0,6,0,0,0.0
1001,1,4,B,D,0.06875,0.7348681688308716,1,1,1.0,11,0,0,0.0
1001,1,4,D,B,0.494838725124181,0.7426837086677551,1,0,0.0,7,0,1,1.0
1001,1,4,C,D,0.0375,0.7364716529846191,1,0,0.0,6,0,0,0.0
1001,1,4,D,C,0.04375,0.7444536685943604,1,0,0.0,7,0,0,0.0
1001,1,5,A,B,0.32119834135815617,0.7493501901626587,1,2,7.0,5,0,3,10.0
1001,1,5,B,A,0.44937712308368527,0.7585912346839905,1,3,10.0,12,0,2,7.0
