episode,seed,possible_communications,actual_communications,communication_ratio,total_communication_cost,task_return,communication_adjusted_return,delay,queue,throughput,mean_C_ij,min_C_ij,max_C_ij,mean_gate,policy_loss,value_loss,entropy,approx_kl
14,56,800,800,1.0,5.914916130304338,-2715.28,-2721.1949161303046,110.185,12.7375,56,0.590919150594014,0.03125,0.8819433015983049,0.7393645162880421,0.06487090664450079,102198.70458984375,1.2957269251346588,0.0005089280020911247
15,57,800,800,1.0,5.9223871314525605,-2165.17,-2171.0923871314526,86.8525,10.6475,55,0.5665136561217626,0.03125,0.8395269281571366,0.7402983914315701,-0.032877509482204914,70312.34033203125,1.2862641736865044,0.0037966188392601907
16,58,800,800,1.0,5.896954681873321,-1845.5500000000002,-1851.4469546818734,71.5925,10.275,54,0.5820033928918836,0.0375,0.8142685883080039,0.7371193352341652,-0.04391747561749071,49941.243408203125,1.2587735950946808,0.0010206648148596287
17,59,800,800,1.0,5.9095125824213035,-2209.37,-2215.2795125824214,86.9475,11.6975,60,0.5884528689385542,0.01875,0.8910515324268515,0.7386890728026628,-0.1321544973179698,67028.46411132812,1.251589260995388,0.00020617656991817057
18,60,800,800,1.0,5.897677362561227,-2420.5499999999997,-2426.447677362561,94.9625,12.965,65,0.5951815813373248,0.0375,0.8958966679981889,0.7372096703201533,0.10227469180244952,83906.5849609375,1.2679253593087196,0.00025384710170328617
19,61,800,800,1.0,6.017482914328577,-2343.8200000000006,-2349.837482914329,93.605,11.7325,59,0.5619734982910733,0.03125,0.8168194794616712,0.7521853642910719,-0.072510996600613,74077.08911132812,1.2713718637824059,0.0006875356775708497
20,62,800,800,1.0,6.048734178543091,-2256.8900000000003,-2262.938734178543,87.7925,12.4625,57,0.5848124719591918,0.0125,0.8735802190603542,0.7560917723178864,-0.007611011154949665,69433.17236328125,1.2746154963970184,0.0004028229450341314
21,63,800,800,1.0,6.050402253866195,-2581.65,-2587.7004022538663,103.7125,12.6225,61,0.5823609029562099,0.03125,0.8591251941406557,0.7563002817332745,0.0662301336415112,96441.54248046875,1.249078318476677,0.0025506801321171224
22,64,800,800,1.0,6.0254595988988875,-1633.13,-1639.155459598899,61.9275,9.795,54,0.5609455171908805,0.025,0.8266132415184835,0.7531824498623609,-0.04947549942880869,34967.27844238281,1.17277143150568,0.0008311923884321004
23,65,800,800,1.0,5.906881142258645,-2276.35,-2282.2568811422584,87.9425,12.8675,56,0.5876216114609369,0.01875,0.8849985750655345,0.7383601427823305,-0.01966819749213755,67761.75390625,1.1665116176009178,0.00039300229400396347
24,66,800,800,1.0,5.941452700495719,-1528.61,-1534.5514527004957,56.6625,9.8125,50,0.587456621245895,0.025,0.8280705577781168,0.742681587561965,0.024135074578225613,31683.837158203125,1.138550579547882,0.0020016079943161458
25,67,800,800,1.0,5.947569988965988,-1477.93,-1483.8775699889661,54.7025,9.5225,58,0.554452694526432,0.0375,0.8585641976473708,0.7434462486207485,-0.03827931603882462,32118.439575195312,1.0767220109701157,0.001238811993971467
26,68,800,800,1.0,5.976618801951408,-1851.0499999999995,-1857.026618801951,69.2475,11.5775,58,0.5988859835651814,0.03125,0.8712180183886532,0.7470773502439261,-0.028832243173383176,46737.15380859375,1.0007976219058037,0.0035563000419642776
27,69,800,800,1.0,5.986004741787909,-1353.74,-1359.7260047417878,49.725,8.9,57,0.5378785600607593,0.0125,0.8292468846845111,0.7482505927234888,-0.03338196314871311,27821.181762695312,0.8828207068145275,0.003744312562048435
28,70,800,800,1.0,5.947815579771997,-1129.5299999999997,-1135.4778155797717,38.6775,8.81,51,0.570433642047188,0.025,0.7868607550132154,0.7434769474714994,0.0398668791167438,16696.806579589844,0.8350079134106636,0.00013630258035846055
29,71,800,800,1.0,5.919778346419335,-1464.5200000000002,-1470.4397783464196,52.82,10.12,53,0.5796677959016779,0.00625,0.8334633198342758,0.7399722933024168,-0.031228558480506763,29095.580322265625,0.8749333471059799,0.00032838343759067357
30,72,800,800,1.0,5.979943175911905,-1212.1199999999997,-1218.0999431759117,43.775,8.3325,51,0.5728438550749998,0.0125,0.829586653321367,0.7474928969889879,-0.04562352632638067,19714.877655029297,0.8752399161458015,0.0004922679217997938
31,73,800,800,1.0,5.947893323898315,-1347.14,-1353.0878933238985,47.01,10.0875,64,0.5700812301021156,0.025,0.8055766904559365,0.7434866654872895,0.06364587077405304,25989.848388671875,0.8217746913433075,0.0005418141663540155
32,74,800,800,1.0,5.943878269791602,-1445.68,-1451.6238782697917,51.51,10.305,57,0.5811135242114799,0.025,0.8225939716736943,0.7429847837239504,-0.024739226733800024,29546.221313476562,0.8289783261716366,8.178339339792728e-05
33,75,800,800,1.0,5.993898318409919,-1361.49,-1367.48389831841,47.4225,10.24,63,0.5695584972142695,0.0125,0.835942915630383,0.7492372898012399,0.10147012036759406,24879.404052734375,0.8490571156144142,0.0002519157715141773
34,76,800,800,1.0,6.0284458780288706,-1405.8199999999997,-1411.8484458780285,49.785,10.1675,59,0.5712134461300167,0.025,0.7975568918133882,0.7535557347536087,-0.021699985256418586,27904.288940429688,0.8433542028069496,0.0004027447721455246
35,77,800,800,1.0,5.970318045020105,-1558.2600000000002,-1564.2303180450203,55.145,11.3,62,0.5900918124371024,0.03125,0.8166415500414516,0.746289755627513,0.02523454651236534,33654.57116699219,0.8065813034772873,0.0001262310252059251
36,78,800,800,1.0,5.983105552196504,-1157.7900000000002,-1163.7731055521967,40.3575,8.68,55,0.5548889416444516,0.03125,0.8081659038779792,0.7478881940245629,0.03867505636299029,18022.03955078125,0.8311161324381828,0.00025280879344791174
37,79,800,800,1.0,5.977748225331306,-1072.0099999999998,-1077.987748225331,37.4825,7.9725,50,0.580294412401033,0.01875,0.7806119325437831,0.7472185281664133,-0.07578455994371325,15354.268615722656,0.841222956776619,3.6731798900291324e-05
38,80,800,800,1.0,5.978890871405602,-1410.8200000000002,-1416.7988908714058,50.805,9.7825,59,0.5751428353357262,0.03125,0.8434478391451825,0.7473613589257002,-0.081993198255077,27446.862670898438,0.8129197247326374,0.0009600480843801051
39,81,800,800,1.0,5.915552879571915,-1278.88,-1284.795552879572,44.585,9.5925,53,0.5982554723433411,0.03125,0.8256169936121929,0.7394441099464893,0.019276515231467783,21226.109130859375,0.6777593977749348,0.0040023368783295155
40,82,800,800,1.0,5.888453651666642,-1274.66,-1280.5484536516667,43.505,10.0225,59,0.5827655279735132,0.0375,0.8035073364990541,0.7360567064583301,-0.010817579342983663,21663.300720214844,0.6129139102995396,0.00011906804866157472
